"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"WDR45B","ENSG00000141580",0.0208441924709719,4.80417823700336,0.252331722345955,0.525625403278632,"NONE",1.1457767528767
"ALDH1L1","ENSG00000144908",0.0796375793943196,3.76359515403222,0.25324636666893,0.526040295336578,"NONE",1.14356788558279
"ARID5A","ENSG00000196843",0.0607669761385057,3.39327472901142,0.271793577968973,0.545087621190567,"NONE",1.09992540720586
"","ENSG00000212978",0.0272337839834327,2.62908287373386,0.347846600721957,0.61397872879974,"NONE",0.93949049951604
"ANKRD62","ENSG00000181626",0.0481919934493222,1.28845924252217,0.529140447096824,0.757192435327787,"NONE",0.629674821379859
"NRIP3","ENSG00000175352",-0.0515007347227661,4.10297769727268,0.251931823430447,0.525424167397464,"NONE",-1.14674426698884
"SAAL1","ENSG00000166788",-0.0189882729693092,2.54555654404229,0.365033345789923,0.629727873504625,"NONE",-0.906484458652315
"SGCE","ENSG00000127990",0.0311289320467396,4.3100546687621,0.25050020402258,0.524035069791248,"NONE",1.15021675093258
"OPRD1","ENSG00000116329",0.0419337900882231,2.69297873928264,0.355233428805027,0.620820448939109,"NONE",0.925181064740259
"","ENSG00000255366",-0.0306693019865376,3.12155355866424,0.296577137820506,0.567549641277899,"NONE",-1.0446861810053
"TMOD1","ENSG00000136842",-0.043149967362293,3.33379517511521,0.287087721138662,0.558820998362989,"NONE",-1.06545301695663
"MORN4","ENSG00000171160",-0.0273981333760345,4.26061355713807,0.250575356905251,0.524035069791248,"NONE",-1.15003411803977
"","ENSG00000278376",0.0350066660830575,2.34468927861538,0.387965806002364,0.648937383649604,"NONE",0.863923177255773
"MED26","ENSG00000105085",0.0157169180289911,1.15898836050754,0.58660652318547,0.793049788506968,"NONE",0.544045750780405
"HELB","ENSG00000127311",0.0295981178249318,1.04470384522023,0.607180497847078,0.805637183119783,"NONE",0.514365723598128
"CLVS1","ENSG00000177182",-0.0295054380701156,1.53096953584236,0.526182661562438,0.755465908145256,"NONE",-0.634204135741869
"NRSN1","ENSG00000152954",-0.0537674735514155,4.75606770716714,0.252764196804258,0.525860369161409,"NONE",-1.14473163071305
